,name,location
372,강릉안목항점,강원 강릉시 경강로2663(견소동)
373,강릉여고점,강원도 강릉시 옥천로34  (옥천동)
374,강릉연곡캠핑장점,강원도 강릉시 연곡면 해안로 1282-2
375,강릉원주대점,강원도 강릉시 지변길18번길 11
376,강릉일송점,강원 강릉시 하평3길12-1(포남동)
377,강릉임당점,"강원도 강릉시 경강로 2106 경일플라자102호, 103호 (임당동)"
378,강릉임당중앙점,강원도 강릉시 토성로 176
379,강릉입암주공점,강원도 강릉시 성덕포남로 21-7(입암동)
380,강릉입암현대점,강원도 강릉시 용지로25(입양동)
381,강릉제일점,강원 강릉시 옥천동147-4번지
382,강릉초당점,강원 강릉시 연당길87(초당동)
383,강릉터미널점,강원도 강릉시 하슬라로 141층(홍제동)
384,강릉포남주공점,강원도 강릉시 산양큰길 38(포남동)
385,강릉하슬라점,강원도 강릉시 하슬라로232번길 21(교동)
386,강릉하평길점,강원도 강릉시 하평길2
387,강릉한라점,강원도 강릉시 노암동노암길42번길 24 102호
388,강릉홍제점,강원도 강릉시 홍제로71번길 12
389,강릉홍제한신점,강원도 강릉시 토성로 56-13호
390,강릉회산원룸점,강원도 강릉시 관솔길 14
391,강릉희망점,강원도 강릉시 강릉대로265
392,강원고성점,강원도 고성군 토성로 147
393,강원대가온관점,강원도 삼척시 전두안길 41
394,강원대점,강원도 춘천시 서부대성로241(효자동)
395,강원랜드점,강원도 정선군 하이원길 2653층 직원매점(강원랜드)
396,강원평창점,강원도 평창군 평창중앙로 4
397,강촌점,강원도 춘천시 남산면 강촌로112(남산면)
398,경동대문막기숙사점,강원도 원주시 견훤로 815
399,경포대점,강원도 강릉시 창해로 4391층 편의점(강문동)
400,경포바다점,강원도 강릉시 창해로 461
401,경포비치점 B,강원도 강릉시 창해로435  (강문동)
402,경포사근진점,강원도 강릉시 해안로615  (안현동)
403,경포씨에스타점,강원 강릉시 해안로388(초당동)
404,경포안현점,강원도 강릉시 해안로523
405,경포파도점,강원도 강릉시 창해로 4852동1층 4호(강문동)
406,고성거진점,강원도 고성군 거진읍 행랑골길2
407,고성경동대점,강원도 고성군 봉포4길 19 세븐일레븐
408,고성봉포점,강원도 고성군 토성면 토성로 67
409,고성천진점,강원도 고성군 토성면 토성로121
410,고한하이힐점,강원 정선군 고한로30 고한읍
411,관동대원룸점,강원도 강릉시 범일로555번길 27(내곡동)
412,관동대점,강원도 강릉시 관솔길117
413,낙산대로점,강원도 양양군 강현면 동해대로3088
414,낙산비치점,강원도 양양군 해맞이길 95-171층 편의점
415,낙산용궁점,강원 양양군 강현면 해맞이길26(전진리)
416,낙산의상대점,강원 양양군 강현면 낙산사로48(전진리)
417,낙산파도점 B,강원 양양군 강현면 일출로3(전진리)
418,낙산해변점,강원도 양양군 강현면 일출로31-10
419,남원주으뜸점,"강원도 원주시 구곡길 10-21, 1층(단구동)"
420,남춘천광장점,강원도 춘천시 우묵길 24-1 세븐일레븐
421,단관에버빌점,강원도 원주시 단구로 360단구동
422,대관령IC점,강원도 평창군 대관령면 경강로 5178
423,대포항해오름점,강원도 속초시 대포항길37
424,도계대학로점,강원 삼척시 도계로312 도계읍
425,동해묵호등대점,강원도 동해시 일출로 121묵호진동
426,동해엘리시아점,강원도 동해시 평릉동 평원로107
427,동해역점,강원도 동해시 송정로 54(송정동)
428,동해점,강원도 동해시 동굴로 123-4 (천곡동)
429,동해중앙점,강원도 동해시 한섬로114
430,동해천곡원룸점,강원도 동해시 감추4길 11(천곡동)
431,동해천곡점,강원도 동해시 천곡동감추5길 22
432,동해추암점,강원도 동해시 추암동 1-3번지c-2동 104호
433,라마다강원태백점,강원도 태백시 태백산로 4839(소도동 24-13)
434,문막반계리점,강원도 원주시 문막읍 원문로 2139
435,문막엠프라자점,강원도 원주시 문막읍 왕건로 22302호
436,미시령휴게소점,강원도 고성군 미시령로 265310
437,봉평기풍로점,강원도 평창군 봉평면 기풍로150-1
438,봉화산점,강원도 원주시 장미공원길 69단계동
439,삼척근덕점,강원도 삼척시 근덕면 교가길 25
440,삼척대학로점,강원도 삼척시 성당길 95 (당저동)
441,삼척대학점,강원도 삼척시 언장1길46 교동
442,삼척덕산해변점,강원도 삼척시 덕산해변길 92카페외전체
443,삼척도계대로점,강원도 삼척시 도계읍 강원남부로 1706
444,삼척도계생활관점,강원도 삼척시 도계읍도계우회로 76
445,삼척도계점,강원 삼척시도계읍
446,삼척문화거리점,강원도 삼척시 엑스포로2 읍중동
447,삼척삼원점,강원도 삼척시 중앙로185(남양동)
448,삼척온천점,강원도 삼척시 정상동동해대로 4098
449,삼척청솔점,강원 삼척시 정상동457-1
450,삼척한마음점,강원도 삼척시 척주로55-1 현송원룸1층 남양동
451,상지대로점,강원도 원주시 우산동우산로 39
452,상지대양지점,강원도 원주시 우산로 70우산동
453,상지대원룸점,강원도 원주시 북원로 2485번길 58우산동
454,상지영서대점,강원 원주시 우산동상지대길 72
