"행정구역별(시군구)",2016,2016,2016,2016,2016,2016,2016,2016
"행정구역별(시군구)",일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상
"논산시",48460,15346,15509,8661,5900,2153,634,257
"계룡시",14051,2614,3544,3352,3326,974,183,58
"당진시",64303,19432,18442,12245,9983,3160,761,280
"금산군",23913,8849,7693,3683,2369,906,289,124
"부여군",27985,8507,10191,4746,2815,1159,376,191
"서천군",22848,7141,8559,3850,2125,795,257,121
"청양군",13084,4082,4831,2101,1221,561,193,95
"홍성군",40135,12573,12358,7316,5421,1797,485,185
"예산군",31878,9251,11212,5784,3704,1299,457,171
"태안군",25260,7594,9267,4449,2656,906,277,111
"전라북도",724678,222201,209595,137015,108374,35482,8983,3028
"읍부",61331,18822,18549,10942,8364,3299,976,379
"면부",164483,56609,60640,25324,13248,5603,2089,970
"동부",498864,146770,130406,100749,86762,26580,5918,1679
"전주시",249563,71515,62606,51283,46050,14169,3109,831
"완산구",139361,39853,35523,28951,25388,7564,1650,432
"덕진구",110202,31662,27083,22332,20662,6605,1459,399
"군산시",108113,33020,30078,21298,17140,5050,1175,352
"익산시",117839,36474,32873,22782,18201,5685,1366,458
"정읍시",45300,14279,15107,7957,5286,1949,536,186
"남원시",33251,10591,10947,5850,3838,1431,424,170
"김제시",34789,11008,12323,5816,3624,1392,445,181
"완주군",37708,12182,10924,6709,5165,1946,549,233
"진안군",9981,3398,3584,1567,866,351,136,79
"무주군",9988,3320,3594,1505,972,396,140,61
"장수군",9041,2941,3231,1373,876,410,139,71
"임실군",11691,4187,4045,1779,994,453,154,79
"순창군",11464,3807,4108,1746,1041,472,197,93
"고창군",23505,7931,8383,3634,2190,911,336,120
"부안군",22445,7548,7792,3716,2131,867,277,114
"전라남도",727197,227225,229014,132231,94986,32192,8370,3179
"읍부",168049,51616,51421,30927,22704,8353,2143,885
"면부",256031,91345,93104,38128,20880,8375,2899,1300
"동부",303117,84264,84489,63176,51402,15464,3328,994
"목포시",93334,27748,26055,18448,14831,4892,1057,303
"여수시",107641,29570,32798,22088,16449,5079,1223,434
