,loc,gs,cu,seven,stores,ppl,1p,1p_ratio,loc1,loc2,store_ratio
157,충남 태안군,12.0,25.0,20.0,57.0,25260.0,7594.0,0.30063341250989706,충남,태안군,0.0013888550473916328
189,전남 무안군,14.0,10.0,32.0,56.0,31359.0,10191.0,0.3249784750789247,전남,무안군,0.0013644891693672181
234,경남 창녕군,17.0,11.0,28.0,56.0,26306.0,9207.0,0.34999619858587394,경남,창녕군,0.0013644891693672181
125,강원 양양군,13.0,16.0,26.0,55.0,11223.0,3795.0,0.3381448810478482,강원,양양군,0.0013401232913428035
233,경남 함안군,17.0,10.0,28.0,55.0,26929.0,8565.0,0.31805859853689333,경남,함안군,0.0013401232913428035
163,전북 정읍시,14.0,22.0,14.0,50.0,45300.0,14279.0,0.3152097130242826,전북,정읍시,0.0012182939012207305
112,강원 태백시,14.0,20.0,14.0,48.0,19380.0,6325.0,0.3263673890608875,강원,태백시,0.0011695621451719013
140,충북 증평군,19.0,10.0,18.0,47.0,14557.0,4527.0,0.31098440612763617,충북,증평군,0.0011451962671474867
240,경남 거창군,11.0,12.0,24.0,47.0,24958.0,7851.0,0.31456847503806395,경남,거창군,0.0011451962671474867
203,경북 상주시,16.0,16.0,12.0,44.0,41997.0,13792.0,0.328404409838798,경북,상주시,0.0010720986330742428
193,전남 완도군,12.0,18.0,14.0,44.0,20892.0,7033.0,0.33663603293126554,전남,완도군,0.0010720986330742428
217,경북 울진군,14.0,17.0,12.0,43.0,21569.0,7764.0,0.35996105521813715,경북,울진군,0.0010477327550498282
153,충남 서천군,13.0,15.0,14.0,42.0,22848.0,7141.0,0.3125437675070028,충남,서천군,0.0010233668770254136
165,전북 김제시,14.0,12.0,16.0,42.0,34789.0,11008.0,0.3164218574836874,전북,김제시,0.0010233668770254136
210,경북 영덕군,8.0,13.0,20.0,41.0,17096.0,6497.0,0.3800304164716893,경북,영덕군,0.000999000999000999
235,경남 고성군,11.0,17.0,12.0,40.0,22101.0,7560.0,0.34206596986561694,경남,고성군,0.0009746351209765844
105,경기 연천군,9.0,20.0,10.0,39.0,18077.0,5999.0,0.3318581623056923,경기,연천군,0.0009502692429521698
123,강원 인제군,8.0,15.0,16.0,39.0,12840.0,4549.0,0.3542834890965732,강원,인제군,0.0009502692429521698
116,강원 횡성군,4.0,22.0,12.0,38.0,17421.0,5118.0,0.2937833649044257,강원,횡성군,0.0009259033649277552
120,강원 철원군,8.0,13.0,16.0,37.0,18526.0,6323.0,0.3413041131382921,강원,철원군,0.0009015374869033406
177,전남 나주시,13.0,1.0,22.0,36.0,40683.0,14732.0,0.36211685470589683,전남,나주시,0.000877171608878926
124,강원 고성군,7.0,15.0,14.0,36.0,12982.0,5723.0,0.4408411646895702,강원,고성군,0.000877171608878926
50,인천 동구,8.0,9.0,18.0,35.0,26576.0,6550.0,0.24646297411198073,인천,동구,0.0008528057308545113
168,전북 무주군,4.0,24.0,6.0,34.0,9988.0,3320.0,0.3323988786543853,전북,무주군,0.0008284398528300967
152,충남 부여군,7.0,12.0,14.0,33.0,27985.0,8507.0,0.3039842772914061,충남,부여군,0.0008040739748056821
151,충남 금산군,9.0,13.0,10.0,32.0,23913.0,8849.0,0.3700497637268431,충남,금산군,0.0007797080967812675
58,인천 옹진군,6.0,12.0,14.0,32.0,9059.0,4078.0,0.4501600618169776,인천,옹진군,0.0007797080967812675
121,강원 화천군,7.0,10.0,14.0,31.0,11057.0,4766.0,0.43103916071267073,강원,화천군,0.0007553422187568529
173,전북 부안군,6.0,11.0,14.0,31.0,22445.0,7548.0,0.33628870572510583,전북,부안군,0.0007553422187568529
204,경북 문경시,10.0,14.0,6.0,30.0,29825.0,9357.0,0.3137300922045264,경북,문경시,0.0007309763407324383
191,전남 영광군,6.0,6.0,18.0,30.0,21180.0,7065.0,0.3335694050991501,전남,영광군,0.0007309763407324383
187,전남 해남군,9.0,11.0,10.0,30.0,28953.0,9749.0,0.33671812938210205,전남,해남군,0.0007309763407324383
117,강원 영월군,12.0,13.0,4.0,29.0,16163.0,5551.0,0.3434387180597661,강원,영월군,0.0007066104627080237
188,전남 영암군,11.0,4.0,14.0,29.0,23332.0,8318.0,0.3565060860620607,전남,영암군,0.0007066104627080237
122,강원 양구군,4.0,10.0,14.0,28.0,9331.0,3439.0,0.36855642482049084,강원,양구군,0.0006822445846836091
135,충북 영동군,4.0,12.0,10.0,26.0,20873.0,7307.0,0.35006946773343556,충북,영동군,0.0006335128286347799
213,경북 성주군,10.0,7.0,8.0,25.0,17324.0,5643.0,0.3257330870468714,경북,성주군,0.0006091469506103652
149,충남 계룡시,8.0,3.0,12.0,23.0,14051.0,2614.0,0.18603658102626147,충남,계룡시,0.000560415194561536
212,경북 고령군,5.0,2.0,16.0,23.0,13476.0,4202.0,0.3118135945384387,경북,고령군,0.000560415194561536
182,전남 고흥군,1.0,11.0,10.0,22.0,29198.0,11151.0,0.38190971984382494,전남,고흥군,0.0005360493165371214
134,충북 옥천군,7.0,7.0,8.0,22.0,19864.0,5368.0,0.270237615787354,충북,옥천군,0.0005360493165371214
164,전북 남원시,13.0,1.0,6.0,20.0,33251.0,10591.0,0.3185167363387567,전북,남원시,0.0004873175604882922
184,전남 화순군,3.0,5.0,12.0,20.0,24953.0,7866.0,0.3152326373582335,전남,화순군,0.0004873175604882922
137,충북 괴산군,4.0,4.0,12.0,20.0,16214.0,5897.0,0.36369803873196005,충북,괴산군,0.0004873175604882922
215,경북 예천군,6.0,8.0,6.0,20.0,19459.0,6576.0,0.33794131250321185,경북,예천군,0.0004873175604882922
236,경남 남해군,10.0,0.0,10.0,20.0,19442.0,6991.0,0.3595823474951137,경남,남해군,0.0004873175604882922
172,전북 고창군,3.0,6.0,10.0,19.0,23505.0,7931.0,0.33741757072963197,전북,고창군,0.0004629516824638776
154,충남 청양군,3.0,4.0,12.0,19.0,13084.0,4082.0,0.31198410272088045,충남,청양군,0.0004629516824638776
239,경남 함양군,3.0,9.0,6.0,18.0,16780.0,6041.0,0.3600119189511323,경남,함양군,0.000438585804439463
232,경남 의령군,4.0,5.0,8.0,17.0,12126.0,4840.0,0.3991423387761834,경남,의령군,0.00041421992641504837
185,전남 장흥군,4.0,6.0,6.0,16.0,16297.0,5876.0,0.36055715775909675,전남,장흥군,0.00038985404839063376
241,경남 합천군,5.0,3.0,8.0,16.0,20313.0,7757.0,0.38187367695564417,경남,합천군,0.00038985404839063376
133,충북 보은군,4.0,6.0,4.0,14.0,13780.0,4424.0,0.32104499274310594,충북,보은군,0.00034112229234180454
186,전남 강진군,3.0,6.0,4.0,13.0,15084.0,5446.0,0.36104481569875363,전남,강진군,0.0003167564143173899
192,전남 장성군,4.0,3.0,6.0,13.0,16603.0,4970.0,0.2993434921399747,전남,장성군,0.0003167564143173899
139,충북 단양군,9.0,0.0,4.0,13.0,12311.0,3946.0,0.3205263585411421,충북,단양군,0.0003167564143173899
237,경남 하동군,5.0,6.0,2.0,13.0,19208.0,6482.0,0.33746355685131196,경남,하동군,0.0003167564143173899
180,전남 곡성군,4.0,3.0,4.0,11.0,12721.0,5191.0,0.408065403663234,전남,곡성군,0.0002680246582685607
211,경북 청도군,5.0,4.0,2.0,11.0,18170.0,6393.0,0.35184369840396257,경북,청도군,0.0002680246582685607
238,경남 산청군,4.0,5.0,2.0,11.0,15044.0,5533.0,0.36778782238766283,경남,산청군,0.0002680246582685607
207,경북 의성군,3.0,3.0,4.0,10.0,23733.0,8520.0,0.3589938060927822,경북,의성군,0.0002436587802441461
183,전남 보성군,1.0,2.0,6.0,9.0,18125.0,6748.0,0.3723034482758621,전남,보성군,0.0002192929022197315
171,전북 순창군,2.0,1.0,6.0,9.0,11464.0,3807.0,0.33208304256803906,전북,순창군,0.0002192929022197315
194,전남 진도군,1.0,6.0,2.0,9.0,13173.0,4941.0,0.37508540195855156,전남,진도군,0.0002192929022197315
143,충남 서북구,0.0,0.0,8.0,8.0,136363.0,42815.0,0.3139781318979489,충남,서북구,0.00019492702419531688
170,전북 임실군,3.0,2.0,2.0,7.0,11691.0,4187.0,0.35813873920109485,전북,임실군,0.00017056114617090227
208,경북 청송군,2.0,3.0,2.0,7.0,11401.0,3994.0,0.35032014735549516,경북,청송군,0.00017056114617090227
195,전남 신안군,0.0,7.0,0.0,7.0,16530.0,6284.0,0.38015728977616453,전남,신안군,0.00017056114617090227
179,전남 담양군,4.0,2.0,0.0,6.0,17109.0,5150.0,0.3010111637150038,전남,담양군,0.00014619526814648766
181,전남 구례군,2.0,2.0,2.0,6.0,10736.0,3860.0,0.35953800298062594,전남,구례군,0.00014619526814648766
167,전북 진안군,1.0,2.0,2.0,5.0,9981.0,3398.0,0.34044684901312494,전북,진안군,0.00012182939012207305
216,경북 봉화군,2.0,3.0,0.0,5.0,14034.0,4660.0,0.3320507339318797,경북,봉화군,0.00012182939012207305
218,경북 울릉군,2.0,3.0,0.0,5.0,3979.0,1644.0,0.41316913797436544,경북,울릉군,0.00012182939012207305
169,전북 장수군,1.0,3.0,0.0,4.0,9041.0,2941.0,0.3252958743501825,전북,장수군,9.746351209765844e-05
190,전남 함평군,1.0,2.0,0.0,3.0,13400.0,4867.0,0.3632089552238806,전남,함평군,7.309763407324383e-05
209,경북 영양군,1.0,2.0,0.0,3.0,7559.0,2617.0,0.3462098161132425,경북,영양군,7.309763407324383e-05
