,loc1,loc2,name,location,loc
7257,부산,북구,화명대림점,"부산광역시 북구 화명대로 68, 상가동 (화명동) 101동 102호",부산 북구
7258,부산,북구,화명도시그린점,부산광역시 북구 양달로 78 도개공그린아파트,부산 북구
7259,부산,북구,화명롯데점,"부산광역시 북구 금곡대로303번길 35, 해경빌딩  (화명동)",부산 북구
7260,부산,북구,화명롯데카이저점,부산광역시 북구 금곡대로 166 화명롯데캐슬카이저,부산 북구
7261,부산,북구,화명산성로점,"부산광역시 북구 산성로 33, 화명동화명동 (화명동) 400동 1호",부산 북구
7262,부산,북구,화명스마일점,"부산광역시 북구 금곡대로 224, (화명동, 동원로얄듀크1차아파트)",부산 북구
7263,부산,북구,화명일신기독점,"부산광역시 북구 금곡대로 264, 화명일신기독병원  (화명동)",부산 북구
7264,부산,북구,화명중앙점,"부산광역시 북구 금곡대로303번길 12, (화명동)",부산 북구
7265,부산,북구,화명코오롱점,부산광역시 북구 화명신도시로 70 코오롱하늘채1차아파트,부산 북구
7266,부산,북구,화명하이점,"부산광역시 북구 화명대로 15, 하이페리온  (화명동)",부산 북구
7267,부산,북구,화명현대점,"부산광역시 북구 화명신도시로 48, (화명동, 화명현대2차)",부산 북구
7268,부산,북구,화명화신점,부산광역시 북구 산성로12번길 54,부산 북구
7269,광주,서구,화목화성점,"광주광역시 서구 쌍촌로 29, (쌍촌동)",광주 서구
7271,제주,제주시,화북남문점,"제주특별자치도 제주시 진남로6길 15, (화북일동)",제주 제주시
7272,제주,제주시,화북주공점,"제주특별자치도 제주시 동화로 7, (화북일동)",제주 제주시
7273,경기,수원시,화서문점,"경기도 수원시 팔달구 화서문로17번길 4,  (장안동) 1층",경기 수원시
7274,경기,수원시,화서블루밍점,경기도 수원시 팔달구 팔달로153번길 65,경기 수원시
7275,경기,수원시,화서스카이점,경기도 수원시 팔달구 동말로 27 (화서동) 하나유통,경기 수원시
7276,경기,수원시,화서신동아점,"경기도 수원시 팔달구 화산로 24, (화서동) 꽃뫼버들마을신동아아파트",경기 수원시
7277,경기,수원시,화서역점,경기도 수원시 팔달구 덕영대로697번길 16 화서4단지주공아파트내,경기 수원시
7278,경기,수원시,화서위브점,경기도 수원시 팔달구 수성로244번길 22 대화빌라,경기 수원시
7279,경기,수원시,화서코오롱점,"경기도 수원시 팔달구 일월로18번길 4-26, (화서동, 꽃뫼버들마을코오롱아파트)",경기 수원시
7280,경기,화성시,화성가재리점,"경기도 화성시 팔탄면 삼천병마로 349, (가재리)",경기 화성시
7281,경기,화성시,화성관리점,"경기도 화성시 향남읍 서봉로 556, (관리)",경기 화성시
7282,경기,화성시,화성광도점,"경기도 화성시 효행로 229-9, (기안동)",경기 화성시
7283,경기,화성시,화성광림점,"경기도 화성시 병점동로164번길 39, 광림빌딩  (진안동)",경기 화성시
7284,경기,화성시,화성구구주유소점,경기도 화성시 팔탄면 포승향남로 2978,경기 화성시
7285,경기,화성시,화성구장원룸점,"경기도 화성시 팔탄면 마당바위로 91,  (구장리, 명성로즈빌) 1동",경기 화성시
7286,경기,화성시,화성궁평항주유소점,"경기도 화성시 서신면 궁평항로 1146, (궁평리)",경기 화성시
7287,경기,화성시,화성그루터기점,"경기도 화성시 삼성1로 160, 디지털스테이션 (석우동) 116호",경기 화성시
7288,경기,화성시,화성그린점,"경기도 화성시 팔탄면 31만세로 662, (해창리)",경기 화성시
7289,경기,화성시,화성기산점,"경기도 화성시 동탄지성로 340, (반월동)",경기 화성시
7290,경기,화성시,화성기안점,"경기도 화성시 기배로 79, (기안동)",경기 화성시
7291,경기,화성시,화성꽃밭점,"경기도 화성시 장안면 꽃밭길 3, (수촌리)",경기 화성시
7292,경기,화성시,화성남양에이스점,"경기도 화성시 남양읍 화성로 965, (남양리)",경기 화성시
7293,경기,화성시,화성남양원룸점,"경기도 화성시 남양읍 역골로 49, (남양리)",경기 화성시
7294,경기,화성시,화성능동원룸점,"경기도 화성시 동탄하나3길 3-4, (능동)",경기 화성시
7295,경기,화성시,화성능동점,"경기도 화성시 여울로 189, (능동)",경기 화성시
7296,경기,화성시,화성대로점,"경기도 화성시 효행로 1051, 메인프라자  (진안동)",경기 화성시
7297,경기,화성시,화성대양점,경기도 화성시 양감면 윗생이길 2,경기 화성시
7298,경기,화성시,화성덕우공단점,"경기도 화성시 봉담읍 덕우공단1길 27, (덕우리)",경기 화성시
7299,경기,화성시,화성덕절리점,"경기도 화성시 정남면 정남동로 157, (덕절리)",경기 화성시
7300,경기,화성시,화성동부점,"경기도 화성시 우정읍 조암죽말길 246-4, (조암리)",경기 화성시
7301,경기,화성시,화성동오사거리점,"경기도 화성시 향남읍 서봉로 639, (동오리)",경기 화성시
7302,경기,화성시,화성동탄고점,"경기도 화성시 동탄시범한빛길 31, (반송동)",경기 화성시
7303,경기,화성시,화성동탄한림점,"경기도 화성시 삼성1로 144-13, (석우동)",경기 화성시
7304,경기,화성시,화성동화리점,"경기도 화성시 봉담읍 동화길 42, (동화리)",경기 화성시
7305,경기,화성시,화성두림점,경기도 화성시 팔탄면 시청로 1049,경기 화성시
